review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
RDIJS7QYB6XNR,5,0,0,N,Y
R36ED1U38IELG8,5,0,0,N,Y
R1UE3RPRGCOLD,2,1,1,N,Y
R298788GS6I901,5,0,0,N,Y
RNX4EXOBBPN5,1,1,1,N,Y
R3BPETL222LMIM,5,0,0,N,Y
R3SORMPJZO3F2J,3,2,2,N,Y
R2RDOJQ0WBZCF6,5,0,0,N,Y
R2B8VBEPB4YEZ7,5,0,0,N,Y
R1CB783I7B0U52,1,0,1,N,Y
R2D90RQQ3V8LH,5,0,0,N,Y
R1Y4ZOUGFMJ327,5,0,0,N,Y
R2BUV9QJI2A00X,5,0,1,N,Y
RSUHRJFJIRB3Z,4,0,0,N,Y
R1T96CG98BBA15,3,2,4,N,Y
R2ATXF4QQ30YW,5,0,0,N,Y
R1YS3DS218NNMD,5,4,4,N,N
R2SDXLTLF92O0H,5,0,0,N,Y
R4R337CCDWLNG,3,0,1,Y,N
R32Z6UA4S5Q630,1,0,0,N,Y
R1H1HOVB44808I,5,1,1,N,N
R4UVQIRZ5T1FM,4,1,2,N,Y
R226K8IJLRPTIR,5,0,1,N,Y
R3031Q42BKAN7J,4,1,1,N,N
R44NP0QG6E98W,3,1,1,N,Y
R24VKWVWUMV3M3,5,0,0,N,Y
R2MW3TEBPWKENS,5,0,0,N,Y
R3N01IESYEYW01,5,0,1,N,Y
RKLAK7EPEG5S6,5,1,2,N,Y
R1HOJ5GOA2JWM0,2,1,1,N,Y
RO5VL1EAPX6O3,1,0,0,N,Y
R3OSJU70OIBWVE,5,0,0,N,Y
R3NFZZCJSROBT4,3,0,0,N,Y
R47XBGQFP039N,5,0,0,N,Y
R1JS8G26X4RM2G,5,0,1,N,Y
R1ORWPFQ9EDYA0,5,0,0,N,Y
R1YIX4SO32U0GT,5,0,1,N,Y
R1W3QQZ8JKECCI,5,0,0,N,Y
RZX17JIYIPAR,5,0,0,N,N
RIDVQ4P3WJR42,5,1,1,N,Y
R1WQ3ME3JAG2O1,1,0,6,N,Y
RNTPOUDQIICBF,4,0,0,N,Y
R3AHZWWOL0IAV0,5,0,0,N,Y
R3PDXKS9O2Z20B,5,0,0,N,N
R23URALWA7IHWL,5,0,0,N,Y
R36L8VKT9ZSUY6,5,0,0,N,Y
R23JRQR6VMY4TV,5,0,0,N,Y
R3T73PQZZ9F6GT,5,0,0,N,Y
R300I65NW30Y19,5,0,0,N,Y
